date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2024-04-07T13:00:00Z,28,Toulouse,Strasbourg,0,0,0,0,0,DRAW,DRAW,Ruddy Buquet
2024-04-07T13:00:00Z,28,Montpellier,Lorient,2,0,0,0,2,Montpellier,Lorient,Romain Lissorgue
2024-04-07T13:00:00Z,28,Stade de Reims,Nice,0,0,0,0,0,DRAW,DRAW,Eric Wattellier
2024-04-07T15:05:00Z,28,Monaco,Stade Rennais,1,0,1,0,1,Monaco,Stade Rennais,Stéphanie Frappart
2024-04-07T18:45:00Z,28,Nantes,Olympique Lyon,1,3,1,0,2,Olympique Lyon,Nantes,Jérôme Brisard
2024-04-12T19:00:00Z,29,FC Metz,RC Lens,2,1,2,1,1,FC Metz,RC Lens,Romain Lissorgue
2024-04-13T15:00:00Z,29,Strasbourg,Stade de Reims,3,1,1,1,2,Strasbourg,Stade de Reims,Willy Delajod
2024-04-13T19:00:00Z,29,Stade Rennais,Toulouse,1,2,1,2,1,Toulouse,Stade Rennais,Florent Batta
2024-04-14T11:00:00Z,29,Le Havre,Nantes,0,1,0,0,1,Nantes,Le Havre,Hakim Ben El Hadj Salem
2024-04-14T13:00:00Z,29,Clermont Foot,Montpellier,1,1,1,0,0,DRAW,DRAW,Thomas Léonard
2024-04-14T18:45:00Z,29,Olympique Lyon,Brest,4,3,1,0,1,Olympique Lyon,Brest,Mathieu Vernice
2024-04-19T19:00:00Z,30,Nice,Lorient,3,0,1,0,3,Nice,Lorient,Jeremy Stinat
2024-04-20T15:00:00Z,30,Nantes,Stade Rennais,0,3,0,0,3,Stade Rennais,Nantes,Willy Delajod
2024-04-20T19:00:00Z,30,RC Lens,Clermont Foot,1,0,1,0,1,RC Lens,Clermont Foot,Benoît Bastien
2024-04-21T13:00:00Z,30,Le Havre,FC Metz,0,1,0,0,1,FC Metz,Le Havre,Marc Bollengier
2024-04-21T13:00:00Z,30,Lille,Strasbourg,1,0,1,0,1,Lille,Strasbourg,Benoît Millot
2024-04-21T13:00:00Z,30,Stade de Reims,Montpellier,1,2,0,1,1,Montpellier,Stade de Reims,Pierre Gaillouste
2024-04-21T15:05:00Z,30,Brest,Monaco,0,2,0,1,2,Monaco,Brest,Ruddy Buquet
2024-04-21T17:15:00Z,30,Toulouse,Marseille,2,2,1,1,0,DRAW,DRAW,Clément Turpin
2024-04-21T19:00:00Z,30,PSG,Olympique Lyon,4,1,4,1,3,PSG,Olympique Lyon,François Letexier
2024-04-24T17:00:00Z,29,Lorient,PSG,1,4,0,2,3,PSG,Lorient,Marc Bollengier
2024-04-24T19:00:00Z,29,Monaco,Lille,1,0,0,0,1,Monaco,Lille,Clément Turpin
2024-04-24T19:00:00Z,29,Marseille,Nice,2,2,1,1,0,DRAW,DRAW,Jérémie Pignard
2024-04-26T19:00:00Z,31,Montpellier,Nantes,1,1,1,1,0,DRAW,DRAW,Jeremy Stinat
2024-04-27T19:00:00Z,31,PSG,Le Havre,3,3,1,2,0,DRAW,DRAW,Willy Delajod
2024-04-28T11:00:00Z,31,FC Metz,Lille,1,2,1,2,1,Lille,FC Metz,Stéphanie Frappart
2024-04-28T13:00:00Z,31,Clermont Foot,Stade de Reims,4,1,1,1,3,Clermont Foot,Stade de Reims,Florent Batta
2024-04-28T13:00:00Z,31,Lorient,Toulouse,1,2,1,0,1,Toulouse,Lorient,Gaël Angoula
2024-04-28T13:00:00Z,31,Strasbourg,Nice,1,3,1,1,2,Nice,Strasbourg,Thomas Léonard
2024-04-28T15:05:00Z,31,Stade Rennais,Brest,4,5,2,1,1,Brest,Stade Rennais,Jérémie Pignard
2024-04-28T17:00:00Z,31,Olympique Lyon,Monaco,3,2,2,1,1,Olympique Lyon,Monaco,Bastien Dechepy
2024-04-28T19:00:00Z,31,Marseille,RC Lens,2,1,1,0,1,Marseille,RC Lens,Eric Wattellier
2024-05-03T17:00:00Z,32,Toulouse,Montpellier,1,2,1,1,1,Montpellier,Toulouse,Marc Bollengier
2024-05-03T19:00:00Z,32,RC Lens,Lorient,2,0,0,0,2,RC Lens,Lorient,Jérémie Pignard
2024-05-04T13:00:00Z,32,Le Havre,Strasbourg,3,1,1,0,2,Le Havre,Strasbourg,Jérôme Brisard
2024-05-04T15:00:00Z,32,Monaco,Clermont Foot,4,1,2,1,3,Monaco,Clermont Foot,Hakim Ben El Hadj Salem
2024-05-04T17:00:00Z,32,FC Metz,Stade Rennais,2,3,2,1,1,Stade Rennais,FC Metz,Ruddy Buquet
2024-05-04T19:00:00Z,32,Brest,Nantes,0,0,0,0,0,DRAW,DRAW,Clément Turpin
2024-05-06T19:00:00Z,32,Lille,Olympique Lyon,3,4,2,0,1,Olympique Lyon,Lille,Benoît Bastien
2024-05-10T19:00:00Z,33,Nice,Le Havre,1,0,1,0,1,Nice,Le Havre,Benoît Bastien
2024-05-10T19:00:00Z,33,Brest,Stade de Reims,1,1,1,1,0,DRAW,DRAW,Jérôme Brisard
